index,Model Name,Price for New Car,is_new
481,lotus elise,239000,
482,perodua viva,52999,Past
483,bmw 315,-1,Past
484,mercedes-benz 300sl,-1,Past
485,mitsubishi fto,-1,Past
486,ssangyong actyon,119888,
487,hafei minz,86988,Past
488,isuzu njr85a,-1,Past
489,bmw 120i,229800,Past
490,seat alhambra,172999,
491,ferrari f512m,-1,Past
492,mercedes-benz gla250,163888,Past
493,hino xzu605r,-1,Past
494,scania kub4x2,-1,Past
495,hino sh1eelg,-1,Past
496,nissan presage,99500,Past
497,chevrolet optra,63300,Past
498,opel cascada,170888,Past
499,lexus ls460,501000,Past
500,peugeot 508,173888,
501,ford s-max,104888,Past
502,toyota century,-1,Past
503,jeep compass,190000,Past
504,opel crossland,112500,
505,chevrolet sonic,82999,Past
506,isuzu lt434p,-1,Past
507,ford ranger,109888,
508,chery t11,50599,Past
509,morris minor,-1,Past
510,foton aumark,-1,Past
511,bmw 218d,-1,Past
512,peugeot expert,56000,Past
513,proton persona,77999,Past
514,toyota prado,248000,
515,subaru wrx,86688,Past
516,ferrari testarossa,-1,Past
517,bmw 325ci,199000,Past
518,daihatsu materia,-1,Past
519,ud condor,-1,Past
520,jaguar mk,-1,Past
521,mazda mx-5,165000,
522,maserati gransport,318800,
523,bmw 135i,277888,
524,skoda rapid,86900,Past
525,ferrari ff,-1,Past
526,saab 900s,-1,Past
527,bmw 840i,453000,
528,bmw 330e,321888,
529,scania p124,-1,Past
530,aston martin vantage,735000,Past
531,nissan nv150,-1,Past
532,hummer h3,-1,Past
533,rolls-royce silver,-1,Past
534,mclaren gt,859000,
535,volkswagen sportsvan,109400,Past
536,mclaren 600lt,880000,
537,toyota vitz,-1,Past
538,suzuki jimny,117000,
539,ford kuga,151888,Past
540,mercedes-benz sl320,-1,Past
541,isuzu npr71l,-1,Past
542,jeep gladiator,209999,
543,mercedes-benz c250,178888,Past
544,renault kadjar,159999,
545,bmw gran,203000,
546,volkswagen arteon,192900,Past
547,nissan murano,104000,Past
548,suzuki solio,92900,Past
549,bmw 220i,178800,Past
550,iveco trakker,-1,Past
551,toyota ractis,-1,Past
552,bmw 1m,301800,Past
553,ssangyong stavic,188888,
554,honda stepwagon,172000,
555,toyota hilux,158000,
556,mercedes-benz r350l,244888,Past
557,mercedes-benz ml250,297888,Past
558,toyota fj,-1,Past
559,subaru brz,140800,Past
560,mg hs,148888,
561,peugeot 107,89900,Past
562,riley kestrel,-1,Past
563,bmw 323i,131800,Past
564,renault zoe,-1,Past
565,aston martin dbx,-1,Past
566,suzuki sj41,-1,Past
567,mercedes-benz gle450,375000,
568,scania kib4x2,-1,Past
569,mitsubishi grandis,82988,Past
570,citroen c3,42999,Past
571,lotus esprit,-1,Past
572,aston martin dbs,875000,Past
573,mercedes-benz eqv,357000,
574,honda insight,111999,Past
575,ferrari 348,-1,Past
576,mercedes-benz cla250,196000,
577,daimler sovereign,-1,Past
578,nissan nv100,60000,
579,chevrolet epica,70300,Past
580,alfa romeo stelvio,251000,
581,lexus rc,322000,Past
582,proton gen,35499,Past
583,volvo p1800,-1,Past
584,aston martin db11,744000,
585,daihatsu terios,-1,Past
586,opel meriva,61888,Past
587,perodua kelisa,-1,Past
588,aston martin vanquish,1088000,Past
589,mazda rx7,-1,Past
590,suzuki lj80,-1,Past
591,maxus e,99988,
592,audi q8,392000,
593,mercedes-benz ml400,340888,Past
594,austin 1300,-1,Past
595,austin healey,-1,Past
596,volvo v70,150000,Past
597,hyundai venue,108999,
598,jeep cherokee,111000,Past
599,toyota iq,-1,Past
600,ruf 3800s,-1,Past
601,bmw 540i,260000,
602,bmw 750li,258800,Past
603,mazda axela,112000,
604,ferrari 360,-1,Past
605,chevrolet malibu,128999,Past
606,seat ateca,152999,
607,lotus europa,-1,Past
608,nissan march,64000,Past
609,toyota probox,-1,Past
610,seat toledo,88999,Past
611,isuzu fvr90,90500,
612,toyota celica,-1,Past
613,seat tarraco,166999,
614,bmw i3,241888,
615,infiniti qx80,415800,Past
616,foton bj6800,-1,Past
617,mg zs,147888,
618,jaguar xk,510000,Past
619,isuzu frr34s,-1,Past
620,toyota mr2,-1,Past
621,mercedes-benz s500,492000,
622,nissan nv250,79000,
623,mercedes-benz axor,-1,Past
624,lexus lx570,-1,Past
625,higer klq6916,-1,Past
626,alfa romeo spider,179800,Past
627,kia soul,117999,Past
628,saab 9-5,147888,Past
629,mercedes-benz gl400,-1,Past
630,bmw z3,-1,Past
631,toyota coaster,-1,Past
632,volvo s40,122000,Past
633,isuzu lt134p,-1,Past
634,nissan sunny,54500,Past
635,maxus v80,55988,Past
636,mitsubishi starion,-1,Past
637,toyota vanguard,-1,Past
638,chrysler 300c,165000,Past
639,hyundai genesis,239988,Past
640,isuzu tfr86,-1,Past
641,rolls-royce wraith,1380000,
642,mercedes-benz ml300,270888,Past
643,nissan lafesta,77000,Past
644,nissan dualis,-1,Past
645,hyundai tuscani,67999,Past
646,mercedes-benz sl400,452888,Past
647,subaru exiga,129000,Past
648,mercedes-benz sl500,400888,Past
649,mercedes-benz cl550,-1,Past
650,isuzu cyz52l,-1,Past
651,bmw m140i,218888,Past
652,jeep patriot,181000,Past
653,alfa romeo 159,111800,Past
654,bmw 740e,-1,Past
655,peugeot 207cc,135800,Past
656,ruf rt35s,-1,Past
657,alfa romeo a156,-1,Past
658,isuzu lt133p,-1,Past
659,bmw x7,450000,
660,nissan kicks,129800,
661,bmw 318ci,199000,Past
662,mercedes-benz 220,239000,
663,mercedes-benz slk280,217888,Past
664,hyundai trajet,76998,Past
665,toyota ist,153000,
666,peugeot rcz,199800,Past
667,aston martin rapide,755000,Past
668,yutong zk6938h,-1,Past
669,mclaren 650s,-1,Past
670,lexus lc500,578800,
671,hino fs1elkm,-1,Past
672,seat ibiza,99999,
673,isuzu tfr87,-1,Past
674,mercedes-benz gle400,409000,
675,nissan leaf,180800,
676,subaru vivio,-1,Past
677,saab 9-3,142888,Past
678,scania g420,-1,Past
679,citroen nemo,58988,Past
680,mercedes-benz cls400,350888,Past
681,man tgs,-1,Past
682,citroen ds3,103988,Past
683,mercedes-benz actros,-1,Past
684,perodua myvi,85999,
685,joylong hkl6540,-1,Past
686,perodua kenari,46999,Past
687,citroen ds4,166988,Past
688,ford capri,-1,Past
689,land rover series,-1,Past
690,jaguar e-type,-1,Past
691,mitsuoka himiko,-1,Past
692,toyota corona,-1,Past
693,ford galaxy,140999,Past
694,bmw 525i,173800,Past
695,man 14.280,-1,Past
696,honda cr-z,123900,Past
697,proton saga,91999,Past
698,jeep renegade,129999,Past
699,infiniti qx50,220800,Past
700,chevrolet impala,-1,Past
701,smart fortwo,-1,Past
702,mg midget,-1,Past
703,nissan single-cab,-1,Past
704,nissan cefiro,89500,Past
705,lotus super,-1,Past
706,ferrari sf90,1818000,
707,ferrari portofino,898000,
708,triumph spitfire,-1,Past
709,mitsuoka nouera,-1,Past
710,isuzu cyh52t,-1,Past
711,mercedes-benz slk350,217888,Past
712,jaguar s-type,201000,Past
713,nissan pkc37,-1,Past
714,toyota starlet,-1,Past
715,datsun 280zx,-1,Past
716,mercedes-benz 219,-1,Past
717,opel grandland,126500,
718,bmw 750i,412000,
719,mercedes-benz c300,235000,
720,audi s6,456400,Past
721,suzuki ciaz,86900,Past
722,foton bj1041,-1,Past
723,mitsubishi airtrek,-1,Past
724,rolls royce,1200000,
725,morgan aero,-1,Past
726,volvo 940,-1,Past
727,sinotruk sitrak,-1,Past
728,mercedes-benz cls500,328888,Past
729,mercedes-benz s600l,271888,Past
730,peugeot 207,79900,Past
731,opel adam,92888,Past
732,mitsubishi 3000gt,-1,Past
733,maybach 62,-1,Past
734,cadillac cts,-1,Past
735,isuzu tfs87j,-1,Past
736,ferrari 612,1270000,Past
737,hino fd8jlka,-1,Past
738,volvo fm370,-1,Past
739,hyundai i45,94699,Past
740,mitsuoka rockstar,-1,Past
741,hino fy1etkm,-1,Past
742,chevrolet spark,65999,Past
743,mercedes-benz a170,95888,Past
744,kia magentis,61999,Past
745,volvo v90,300000,
